id;trademark_uuid;trademark_no;year;decree_no;applicant_name;trade_mark_owner;country;nationality;address;apply_date;trademark_english;trademark_arabic;category;image_file;image_file_content_type;image_file_url;file;file_content_type;file_url;extra_file;extra_file_content_type;extra_file_url;publication_date;publication_no;trademark_registered_status;is_hidden;notes
1;gold Intelligent object-oriented;lime Fresh Designer;41470;Central quantify;transmit;mobile Cloned proactive;Barbados;Table Argentine;Incredible deposit Chips;2023-01-13;Customer Metal Re-engineered;Architect Unbranded Ethiopian;orange applications capacity;../fake-data/blob/hipster.png;image/png;Assimilated Loan;../fake-data/blob/hipster.png;image/png;users;../fake-data/blob/hipster.png;image/png;Practical Sausages;2023-01-13;4532;CONTESTED;true;emulation Analyst Chips
2;Chicken;Dynamic;22036;Consultant;deposit Cotton;Grocery;Macedonia;Account Paradigm Movies;Bedfordshire Row drive;2023-01-13;Bedfordshire;sensor Metal;Usability;../fake-data/blob/hipster.png;image/png;generating;../fake-data/blob/hipster.png;image/png;Dollar;../fake-data/blob/hipster.png;image/png;Fresh;2023-01-13;29753;FINAL_PUBLICATION;false;Legacy state
3;paradigms Avon JSON;innovative Architect calculate;39562;Bedfordshire;Grocery Fresh Kiribati;communities Dollar transmit;British Indian Ocean Territory (Chagos Archipelago);Curve Berkshire;Dynamic haptic Gorgeous;2023-01-13;customized;Parkways Account revolutionary;Island 1080p;../fake-data/blob/hipster.png;image/png;Fort Alabama;../fake-data/blob/hipster.png;image/png;Grass-roots evolve;../fake-data/blob/hipster.png;image/png;non-volatile Baby;2023-01-13;65702;CONTESTED;false;Marks extend
4;Berkshire Chair European;Enterprise-wide;82593;Kids;Investment;e-services;San Marino;Frozen;circuit fault-tolerant;2023-01-12;whiteboard Universal e-services;backing Sudan bypass;neural-net Automotive;../fake-data/blob/hipster.png;image/png;Palau repurpose Arizona;../fake-data/blob/hipster.png;image/png;Washington Sleek;../fake-data/blob/hipster.png;image/png;payment pixel Engineer;2023-01-13;21669;INITIAL_PUBLICATION;true;repurpose
5;synthesize Clothing Product;National synergies technologies;24231;Hat payment;Coordinator grid-enabled technologies;Secured Tuna utilisation;Romania;methodology;Avon Hills bypass;2023-01-12;deposit visionary Land;Loan;Wooden;../fake-data/blob/hipster.png;image/png;reserved Specialist;../fake-data/blob/hipster.png;image/png;Czech;../fake-data/blob/hipster.png;image/png;ROI deposit out-of-the-box;2023-01-12;46884;CONTESTED;true;Devolved maximize
6;Clothing connecting;facilitate Fork Jamaican;85986;Pants Engineer Brazilian;turquoise;FTP e-enable;Timor-Leste;Plastic;holistic Account;2023-01-13;virtual Product Frozen;indigo portal;engineer Books;../fake-data/blob/hipster.png;image/png;microchip primary;../fake-data/blob/hipster.png;image/png;Steel;../fake-data/blob/hipster.png;image/png;Washington one-to-one;2023-01-13;7371;CONTESTED;false;Handcrafted bandwidth
7;Falkland Handmade indexing;Granite bypassing THX;80584;Paradigm transmitter Steel;capacitor;Auto;Macao;primary tangible Oval;engine cultivate;2023-01-13;Car;Cheese users;Organized HTTP Som;../fake-data/blob/hipster.png;image/png;protocol sexy;../fake-data/blob/hipster.png;image/png;Personal Multi-lateral Research;../fake-data/blob/hipster.png;image/png;Architect;2023-01-12;18447;INITIAL_PUBLICATION;true;set
8;bandwidth-monitored;B2C Loan;18073;synergistic web-readiness Engineer;Sausages;Account;Bermuda;neutral;repurpose indigo synthesize;2023-01-13;HTTP open-source;Krona Soft e-tailers;reintermediate;../fake-data/blob/hipster.png;image/png;invoice platforms cyan;../fake-data/blob/hipster.png;image/png;frictionless;../fake-data/blob/hipster.png;image/png;bandwidth-monitored silver;2023-01-13;8533;INITIAL_PUBLICATION;true;quantify generating Balboa
9;violet productivity;Wooden Diverse;26241;New Generic;Account withdrawal Clothing;interface;United States Minor Outlying Islands;Wooden Car wireless;Home connecting;2023-01-13;Consultant;Assimilated microchip;foreground Lead;../fake-data/blob/hipster.png;image/png;Automotive Glens;../fake-data/blob/hipster.png;image/png;Hat;../fake-data/blob/hipster.png;image/png;Loan back;2023-01-12;42924;INITIAL_PUBLICATION;false;Mobility
10;convergence customer;channels;27002;back-end;Research models revolutionize;back-end;Saint Martin;Tools;parsing;2023-01-12;Engineer Plastic Usability;upward-trending Utah;ivory;../fake-data/blob/hipster.png;image/png;Small Avon granular;../fake-data/blob/hipster.png;image/png;Security invoice;../fake-data/blob/hipster.png;image/png;Small parsing;2023-01-13;66741;CONTESTED;false;Berkshire Nevada
